127.0.0.1 - - [16/Mar/2020:15:10:41 +0800] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:10:44 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 13525
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:10:45 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 200 179177
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:10:45 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:10:45 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 200 369699
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:10:47 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:14:38 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 13537
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:14:40 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:14:40 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:14:40 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:14:40 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:18:34 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 13546
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:18:35 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:18:36 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:18:37 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:18:38 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:19:58 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 13539
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:19:59 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:20:00 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:20:01 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:20:02 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:21:08 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 13539
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:21:09 +0800] "GET /NatPro_Web/css/materialize.css HTTP/1.1" 200 179177
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:21:10 +0800] "GET /NatPro_Web/css/style.css HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:21:10 +0800] "GET /NatPro_Web/js/materialize.js HTTP/1.1" 200 369699
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:21:10 +0800] "GET /NatPro_Web/js/init.js HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:21:11 +0800] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:23:59 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 14040
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:54:54 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 14040
0:0:0:0:0:0:0:1 - - [16/Mar/2020:15:55:24 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 14053
0:0:0:0:0:0:0:1 - - [16/Mar/2020:16:01:37 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 14131
0:0:0:0:0:0:0:1 - - [16/Mar/2020:16:09:45 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 14131
0:0:0:0:0:0:0:1 - - [16/Mar/2020:16:51:40 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 19466
0:0:0:0:0:0:0:1 - - [16/Mar/2020:16:52:04 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 19485
0:0:0:0:0:0:0:1 - - [16/Mar/2020:16:52:37 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 19505
0:0:0:0:0:0:0:1 - - [16/Mar/2020:17:04:16 +0800] "GET /NatPro_Web/5search.jsp HTTP/1.1" 200 19512
